Data	Godzina	Napięcie(V)_C_(P0)	RAW_C_(P0)	Procent_C_(P0)	Napięcie(V)_R_(P7)	RAW_R_(P7)	Procent_R_(P7)	Napięcie(V)_C_(P1)	RAW_C_(P1)	Procent_C_(P1)	Temperatura(C)	Wilgotność(%)	Lux raw	Lux V
2025-03-07	12:55	0.83	16400	100.0%	0.71	14157	100.0%	0.95	18962	95.81%	None	None	53812	2.7096910048065914
2025-03-07	13:25	0.82	16400	100.0%	0.69	13709	100.0%	0.95	18962	95.81%	22.7	42.4	53812	2.703245593957427
2025-03-07	13:55	0.82	16335	100.0%	0.69	13709	100.0%	0.95	18898	96.13%	22.7	42.5	52403	2.622577248798352
2025-03-07	14:25	0.82	16335	100.0%	0.69	13837	100.0%	0.95	18898	96.13%	None	None	49904	2.5161272602426186
2025-03-07	14:55	0.82	16335	100.0%	0.69	13709	100.0%	0.95	18898	96.13%	22.7	45.1	52403	2.6387411306935227
2025-03-07	15:25	0.82	16335	100.0%	0.71	14029	100.0%	0.95	18962	95.81%	22.7	45.7	49840	2.5193499656672005
2025-03-07	15:55	0.40	10121	100.0%	0.72	14221	100.0%	0.95	18962	95.81%	22.7	44.6	42025	2.109663538567178
2025-03-07	16:25	1.72	18898	96.13%	0.72	14350	100.0%	0.95	18898	96.13%	22.6	45.5	39398	1.9903227283131149
2025-03-07	16:55	1.75	29148	44.55%	0.75	14990	100.0%	0.95	18898	96.13%	None	None	19731	1.01288624399176
2025-03-07	17:25	1.10	18321	99.03%	0.96	19026	100.0%	0.95	18962	95.81%	None	None	4932	0.25806820782787826
2025-03-07	17:55	0.00	576	100.0%	1.05	20820	100.0%	0.95	18898	96.13%	22.3	44.5	12556	0.5935317006179903
2025-03-07	18:25	0.00	0	100.0%	1.06	21012	100.0%	0.95	18898	96.13%	22.1	42.1	64	0.003222705424582284
2025-03-07	18:55	1.70	14990	100.0%	1.07	21268	100.0%	0.95	18898	96.13%	22.0	42.5	0	0.00966811627374685
2025-03-07	19:25	0.00	0	100.0%	1.07	21268	100.0%	0.95	18898	96.13%	21.9	43.3	0	0.0
2025-03-07	19:55	0.32	0	100.0%	1.07	21332	100.0%	0.95	18834	96.45%	21.8	43.3	0	0.029004348821240557
2025-03-07	20:25	1.74	21717	81.94%	1.08	21396	100.0%	0.95	18898	96.13%	21.6	43.8	0	0.0
2025-03-07	20:55	0.00	0	100.0%	1.07	21268	100.0%	0.95	18834	96.45%	21.6	44.1	0	0.00966811627374685
2025-03-07	21:25	0.06	0	100.0%	1.06	21140	100.0%	0.95	18898	96.13%	21.5	44.1	192	0.0
2025-03-07	21:55	1.72	18514	98.06%	1.05	20884	100.0%	0.95	18898	96.13%	21.5	43.8	0	0.0
2025-03-07	22:25	0.00	0	100.0%	1.05	20756	100.0%	0.95	18898	96.13%	21.5	40.3	0	0.0
2025-03-07	22:55	0.00	0	100.0%	1.04	20628	100.0%	0.95	18834	96.45%	21.3	40.8	384	0.025781643396658272
2025-03-07	23:25	1.26	22229	79.37%	1.04	20564	100.0%	0.95	18898	96.13%	21.5	40.6	576	0.0193362325474937
2025-03-07	23:55	0.60	12620	100.0%	1.03	20500	100.0%	0.95	18898	96.13%	21.4	41.1	256	0.022558937972075987
2025-03-08	00:25	0.98	16592	100.0%	1.03	20371	100.0%	0.95	18898	96.13%	21.1	40.6	448	0.025781643396658272
2025-03-08	00:55	0.95	16400	100.0%	1.03	20435	100.0%	0.95	18898	96.13%	21.2	40.3	832	0.022558937972075987
